time_index,cpu_utilization_avg
6,0.1269766555044261
7,0.12591145270262874
8,0.12435101819269988
9,0.12338091746306636
10,0.12275637562770342
11,0.12187452837704554
12,0.12199811611152565
13,0.12154295071997344
14,0.12142987815751145
15,0.12022997432596537
16,0.11916624531215125
17,0.11889611362702407
18,0.11828882040764903
19,0.11880334463171253
20,0.12005234537686715
21,0.12026390845299151
22,0.12034534697525456
23,0.12008894753594658
24,0.11992570769845994
25,0.11969702246318997
26,0.11972736085764135
27,0.1204240663190571
28,0.12191123224421274
29,0.12126785508967576
30,0.12120701739383098
31,0.1214501985835314
32,0.12132405468404628
33,0.12115520331647962
34,0.1205518531536568
35,0.12073200900763309
36,0.12095091073498254
37,0.12072079661045694
38,0.12077109531858932
39,0.12033878550491028
40,0.11953656230097665
41,0.12021655521119119
42,0.12107311948611595
43,0.1223045726157298
44,0.12304182150638726
45,0.1231289105041905
46,0.12306609718172852
47,0.12343117851906804
48,0.12386394823129743
49,0.12452555414245738
50,0.12535199494202356
51,0.12616434976053117
52,0.12756478484155162
53,0.1288472459051251
54,0.12997405061360204
55,0.12902747226871333
56,0.12779481321823594
57,0.12810843870050512
58,0.12863715345591917
59,0.1285867605479272
60,0.12933214735184326
61,0.13058749746990486
62,0.13110283264288616
63,0.13177979264949194
64,0.13170419920013426
65,0.13189751546271428
66,0.13101445294149897
67,0.13091856681553743
68,0.13110646114439048
69,0.1309563892274139
70,0.13049758004292128
71,0.13017570581011695
72,0.1285338390683374
73,0.12699811013159432
74,0.12665650991661512
75,0.12628371083682105
76,0.12539163313525178
77,0.12445621571317357
78,0.1255349304330613
79,0.1261586847541305
80,0.1259184768913482
81,0.12609023689685336
82,0.12641618034486288
83,0.12729019630614105
84,0.12861964157355374
85,0.1290488220697151
86,0.1284907683639471
87,0.1285904529414899
88,0.1285885344711605
89,0.12777684359489827
90,0.1265627317924625
91,0.1269143182200339
92,0.12790362734716154
93,0.12740588598277042
94,0.12694828112824663
95,0.126005999772595
96,0.125194637756201
97,0.12475001628176975
98,0.12460508087671755
99,0.124109896878991
100,0.12387991291049631
101,0.12386936714676577
102,0.12343045005500146
103,0.12156704852621712
104,0.12032139952489833
105,0.11975773628679424
106,0.11931576818495383
107,0.11853876926879932
108,0.11722359852840882
109,0.11601753755104016
110,0.11489943119474809
111,0.11369716275818464
112,0.11262321939576853
113,0.11219558991180682
114,0.11153452896497214
115,0.11126689815804379
116,0.11104582395303098
117,0.11109515067628978
118,0.11154088467867072
119,0.11262563906938637
120,0.11343626174014547
121,0.11416337666367644
122,0.1146753155801545
123,0.11593247490704327
124,0.11750565711768096
125,0.11753005432440088
126,0.11776821128602226
127,0.11739771056428218
